"Company";"Company_Old";"NAIC";"Plan";"State";"Area";"Zip_Lookup_Code";"Gender";"T/NT";"Couple_Fac";"Eff_Date";"Rate_Type";"Age_For_Sorting";"Lowest_Rate?";"Highest_Rate?";"Age";"Monthly_Rate";"Quarterly_Rate";"Semi-Annual_Rate";"Annual_Rate";"Policy Fee";"Household Discount"
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";65.00;"Y";"N";"65";96.96;308.46;605.28;1164.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";66.00;"Y";"N";"66";96.96;308.46;605.28;1164.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";67.00;"Y";"N";"67";96.96;308.46;605.28;1164.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";68.00;"Y";"N";"68";101.13;321.71;631.28;1214.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";69.00;"Y";"N";"69";105.54;335.76;658.84;1267.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";70.00;"Y";"N";"70";109.79;349.27;685.36;1318.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";71.00;"Y";"N";"71";114.04;362.79;711.88;1369.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";72.00;"Y";"N";"72";118.04;375.51;736.84;1417.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";73.00;"Y";"N";"73";121.70;387.17;759.72;1461.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";74.00;"Y";"N";"74";125.37;398.83;782.60;1505.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";75.00;"Y";"N";"75";128.37;408.37;801.32;1541.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";76.00;"Y";"N";"76";131.45;418.17;820.56;1578.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";77.00;"Y";"N";"77";134.11;426.65;837.20;1610.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";78.00;"Y";"N";"78";136.61;434.60;852.80;1640.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";79.00;"Y";"N";"79";139.11;442.55;868.40;1670.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";80.00;"Y";"N";"80";141.36;449.71;882.44;1697.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";81.00;"Y";"N";"81";143.36;456.07;894.92;1721.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";82.00;"Y";"N";"82";145.11;461.63;905.84;1742.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";83.00;"Y";"N";"83";147.19;468.26;918.84;1767.00;"$20";
"American Continental Insurance Company (Aetna)";"American Continental";12321.00;"A";"NM";1;31107.00;"Female";"Non-Tobacco";"";"10/1/2018";"Attained Age";84.00;"Y";"N";"84";149.11;474.35;930.80;1790.00;"$20";
